25 2
0	0	0	0	00:00:00	0
400	500	600	7	00:01:00	100
480	600	720	1	00:02:30	100
580	720	860	2	00:04:00	100
700	860	1030	2	00:05:30	100
840	1030	1240	3	00:07:00	100
1800	2000	2200	2	00:08:30	100
2200	2400	2600	4	00:10:00	100
2600	2900	3100	4	00:12:00	100
3100	3500	3700	5	00:14:00	100
3700	4200	4400	6	00:16:00	95
6000	7000	8000	7	00:18:00	95
7200	8400	9600	9	00:20:00	95
8600	10100	11500	10	00:25:00	95
10300	12100	13800	13	00:30:00	95
12400	14500	16600	15	00:45:00	95
21000	23000	25000	18	01:00:00	95
22000	25000	26000	21	02:00:00	95
23000	28000	27000	26	03:00:00	95
24000	31000	28000	31	04:00:00	85
25000	34000	29000	38	05:00:00	85
26000	37000	30000	44	06:00:00	85
27000	41000	32000	54	07:00:00	85
28000	45000	34000	64	08:00:00	85
29000	50000	36000	78	09:00:00	85
30000	55000	38000	92	10:00:00	70
