30 1
0	0	0	0	00:00:00	20
50	40	30	1	00:00:30	120
60	50	40	1	00:01:00	132
80	60	50	2	00:01:30	146
100	80	60	2	00:02:00	162
100	100	70	2	00:02:30	180
200	100	90	2	00:03:30	200
200	200	100	3	00:05:00	222
200	200	100	3	00:10:00	248
300	200	200	4	00:20:00	276
400	300	200	4	00:30:00	308
500	400	300	4	00:40:00	343
600	500	300	5	00:50:00	383
700	600	400	6	01:00:00	429
900	700	500	7	01:15:00	480
1000	900	700	8	01:30:00	536
1000	1000	800	8	01:45:00	600
2000	1000	1000	10	02:00:00	673
2000	2000	1000	12	02:30:00	756
3000	2000	2000	13	03:00:00	846
3000	3000	2000	15	04:00:00	948
4000	3000	2000	16	05:00:00	1064
5000	4000	3000	20	06:00:00	1194
6000	5000	4000	22	07:00:00	1340
8000	6000	5000	25	08:00:00	1504
10000	8000	6000	28	09:00:00	1690
12000	10000	7000	33	10:00:00	1897
16000	12000	9000	37	12:00:00	2130
19000	16000	12000	42	14:00:00	2392
24000	19000	15000	48	16:00:00	2688
30000	24000	18000	55	18:00:00	3020
