30 1
0	0	0	0	00:00:00	20
60	50	60	1	00:00:30	120
70	60	70	2	00:01:00	132
90	80	90	2	00:01:30	146
100	100	100	2	00:02:00	162
100	100	100	3	00:02:30	180
200	200	200	3	00:03:30	200
200	200	200	4	00:05:00	222
300	200	300	4	00:10:00	248
400	300	400	5	00:20:00	276
400	400	400	6	00:30:00	308
500	500	500	7	00:40:00	343
700	600	700	8	00:50:00	383
800	700	800	10	01:00:00	429
1000	900	1000	11	01:15:00	480
1000	1000	1000	13	01:30:00	536
2000	1000	2000	15	01:45:00	600
2000	2000	2000	18	02:00:00	673
3000	2000	3000	21	02:30:00	756
3000	3000	3000	25	03:00:00	846
4000	3000	4000	28	04:00:00	948
5000	4000	5000	34	05:00:00	1064
6000	5000	6000	39	06:00:00	1194
8000	6000	8000	46	07:00:00	1340
10000	8000	10000	54	08:00:00	1504
12000	10000	12000	63	09:00:00	1690
15000	12000	15000	74	10:00:00	1897
19000	16000	19000	86	12:00:00	2130
23000	19000	23000	100	14:00:00	2392
29000	24000	29000	118	16:00:00	2688
36000	30000	36000	138	18:00:00	3020
