25 6
0	0	0	0	00:00:00	0
100	100	100	20	00:05:00	1
130	130	130	3	00:15:00	2
160	160	160	4	00:25:00	3
200	210	200	5	00:35:00	4
250	260	250	5	00:50:00	5
320	340	320	7	01:10:00	6
400	430	400	7	01:30:00	7
500	550	500	9	01:50:00	8
640	700	640	10	02:10:00	9
800	890	800	12	02:30:00	10
1000	1100	1000	14	03:00:00	11
1300	1400	1300	16	03:30:00	14
1600	1800	1600	20	04:00:00	19
2000	2400	2000	22	04:30:00	26
2500	3000	2500	26	05:00:00	35
3200	3800	3200	31	05:50:00	46
4000	4900	4000	36	06:40:00	59
5100	6200	5100	42	08:00:00	74
6400	7900	6400	49	09:30:00	91
8100	10100	8100	57	11:00:00	110
10200	12900	10200	67	12:30:00	131
12800	16400	12800	79	15:00:00	154
16100	21000	16100	92	18:30:00	179
20300	26700	20300	107	22:30:00	206
25600	34100	25600	126	28:00:00	235
