30 1
0	0	0	0	00:00:00	20
40	50	30	1	00:00:30	120
50	60	40	1	00:01:00	132
60	80	50	1	00:01:30	146
80	100	60	1	00:02:00	162
100	120	70	1	00:02:30	180
100	200	100	1	00:03:30	200
200	200	100	2	00:05:00	222
200	200	100	2	00:10:00	248
200	300	200	2	00:20:00	276
300	400	200	2	00:30:00	308
400	500	300	3	00:40:00	343
500	600	300	3	00:50:00	383
600	700	400	4	01:00:00	429
700	900	500	5	01:15:00	480
900	1000	700	5	01:30:00	536
1000	1000	800	5	01:45:00	600
1000	2000	1000	7	02:00:00	673
2000	2000	1000	8	02:30:00	756
2000	3000	2000	9	03:00:00	846
3000	3000	2000	10	04:00:00	948
3000	4000	2000	12	05:00:00	1064
4000	5000	3000	14	06:00:00	1194
5000	6000	4000	16	07:00:00	1340
6000	8000	5000	19	08:00:00	1504
8000	10000	6000	21	09:00:00	1690
10000	12000	7000	24	10:00:00	1897
12000	16000	9000	29	12:00:00	2130
16000	19000	12000	33	14:00:00	2392
19000	24000	15000	38	16:00:00	2688
24000	30000	18000	43	18:00:00	3020
